X,session,site,habitat,octocoral,stony,relief_cm,species_order,family,binomial,species,size_bin,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,SVC_date,SVC_max_depth,SVC_area,SVC_abundance,SVC_density,prey_date,prey_depth,prey_area,prey_abundance,prey_density,SVC_prey_difference,total_density,log_difference,average_depth,colouration2,shape,fnt_group,size_bin_char
1632,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Pomacentridae,Stegastes xanthurus,cocoa damselfish,2,0,0,demersal,solitary,12.5,conspicuous,0,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,37.325,160,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,51.1625,neutral,compressiform,omnivore,2
1633,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Pomacanthidae,Pomacanthus paru,french angelfish,6,0,0,demersal,solitary,60,conspicuous,0,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,37.325,160,1,0.00625,2.46120127292773e-4,0.0127461201272928,0.0333841014604443,51.1625,colourful,compressiform,omnivore,6
1634,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Acanthuridae,Acanthurus coeruleus,blue tang,3,0,0,demersal,solitary,36,cryptic,0,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,37.325,160,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,51.1625,colourful,compressiform,herbivore,3
1635,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Acanthuridae,Acanthurus chirurgus,doctorfish,3,0,0,demersal,solitary,35,cryptic,0,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,37.325,160,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,51.1625,neutral,compressiform,herbivore,3
1636,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Halichoeres garnoti,yellowhead wrasse,2,0,0,demersal,shoaling,19.3,conspicuous,0,2014-09-24,65,153.93804,2,0.0129922402545855,2014-09-24,37.325,160,19,0.11875,-0.105757759745414,0.131742240254586,-2.1469033278684,51.1625,colourful,elongated,invertivore,2
1637,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Pomacentridae,Stegastes partitus,bicolor damselfish,2,0,0,demersal,solitary,10,conspicuous,0,2014-09-24,65,153.93804,45.75,0.297197495823644,2014-09-24,37.325,160,75,0.46875,-0.171552504176356,0.765947495823644,-0.454444633638558,51.1625,colourful,compressiform,omnivore,2
1638,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,2,0,0,demersal,shoaling,25,conspicuous,0,2014-09-24,65,153.93804,29,0.18838748369149,2014-09-24,37.325,160,41,0.25625,-0.0678625163085096,0.44463748369149,-0.306253280140067,51.1625,colourful,fusiform,planktivore,2
1639,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Pomacentridae,Chromis multilineata,brown chromis,3,0,0,demersal,shoaling,20,none,0,2014-09-24,65,153.93804,5,0.0324806006364639,2014-09-24,37.325,160,8,0.05,-0.0175193993635361,0.0824806006364639,-0.42085944710675,51.1625,neutral,fusiform,planktivore,3
1640,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Scarus taeniopterus,princess parrotfish,3,0,0,demersal,shoaling,35,conspicuous,0,2014-09-24,65,153.93804,1.75,0.0113682102227624,2014-09-24,37.325,160,0,0,0.0113682102227624,0.0113682102227624,2.51512948901322,51.1625,colourful,fusiform,herbivore,3
1641,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Clepticus parrae,creole wrasse,3,0,0,demersal,shoaling,30,conspicuous,0,2014-09-24,65,153.93804,5,0.0324806006364639,2014-09-24,37.325,160,19,0.11875,-0.0862693993635361,0.151230600636464,-1.27444005067345,51.1625,colourful,fusiform,planktivore,3
1642,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Carangidae,Caranx crysos,blue runner,5,0,0,demersal,schooling,62,cryptic,0,2014-09-24,65,153.93804,45,0.292325405728175,2014-09-24,37.325,160,0,0,0.292325405728175,0.292325405728175,5.68128259251226,51.1625,silvering,fusiform,carnivore,5
1643,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Acanthuridae,Acanthurus tractus,ocean surgeonfish,3,0,0,demersal,solitary,35,none,0,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,37.325,160,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,51.1625,neutral,compressiform,herbivore,3
1644,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Halichoeres garnoti,yellowhead wrasse,3,0,0,demersal,shoaling,19.3,conspicuous,0,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,37.325,160,7,0.04375,-0.0372538798727072,0.0502461201272928,-1.78670587439384,51.1625,colourful,elongated,invertivore,3
1645,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,3,0,0,demersal,shoaling,25,conspicuous,0,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,37.325,160,1,0.00625,2.46120127292773e-4,0.0127461201272928,0.0333841014604443,51.1625,colourful,fusiform,planktivore,3
1646,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Scarus iseri,striped parrotfish,3,0,0,demersal,shoaling,35,conspicuous,0,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,37.325,160,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,51.1625,colourful,fusiform,herbivore,3
1647,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Haemulidae,Anisotremus surinamensis,black margate,6,1,0,demersal,solitary,76,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,silvering,compressiform,invertivore,6
1648,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Pomacentridae,Chromis cyanea,blue chromis,3,0,0,demersal,shoaling,25,conspicuous,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,colourful,compressiform,planktivore,3
1649,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Acanthuridae,Acanthurus coeruleus,blue tang,4,0,0,demersal,solitary,36,cryptic,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,4,0.025,-0.025,0.025,-3.25809653802148,51.1625,colourful,compressiform,herbivore,4
1650,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,6,0,0,demersal,shoaling,25,conspicuous,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,colourful,fusiform,planktivore,6
1651,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Gobiidae,Coryphopterus glaucofraenum,bridled goby,1,0,0,demersal,solitary,8,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,25,0.15625,-0.15625,0.15625,-5.05783689558055,51.1625,camouflage,elongated,omnivore,1
1652,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Gobiidae,Coryphopterus glaucofraenum,bridled goby,2,0,0,demersal,solitary,8,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,10,0.0625,-0.0625,0.0625,-4.15103990589865,51.1625,camouflage,elongated,omnivore,2
1653,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Gobiidae,Coryphopterus dicrus,colon goby,1,0,0,demersal,solitary,5,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,10,0.0625,-0.0625,0.0625,-4.15103990589865,51.1625,camouflage,elongated,omnivore,1
1654,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Clepticus parrae,creole wrasse,1,0,0,demersal,shoaling,30,conspicuous,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,colourful,fusiform,planktivore,1
1655,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Clepticus parrae,creole wrasse,4,0,0,demersal,shoaling,30,conspicuous,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,34,0.2125,-0.2125,0.2125,-5.36363683266868,51.1625,colourful,fusiform,planktivore,4
1656,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Haemulidae,Haemulon flavolineatum,french grunt,4,0,0,demersal,schooling,30,none,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,2,0.0125,-0.0125,0.0125,-2.60268968544438,51.1625,colourful,fusiform,invertivore,4
1657,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,1,0,0,demersal,solitary,5.6,cryptic,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,27,0.16875,-0.16875,0.16875,-5.13432676643881,51.1625,camouflage,elongated,omnivore,1
1658,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,2,0,0,demersal,solitary,5.6,cryptic,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,3,0.01875,-0.01875,0.01875,-2.98315349134713,51.1625,camouflage,elongated,omnivore,2
1659,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,neutral,fusiform,carnivore,2
1660,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Sparisoma atomarium,greenblotch parrotfish,1,0,0,demersal,shoaling,25,none,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,5,0.03125,-0.03125,0.03125,-3.47351804324178,51.1625,colourful,fusiform,herbivore,1
1661,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Sparisoma atomarium,greenblotch parrotfish,2,0,0,demersal,shoaling,25,none,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,2,0.0125,-0.0125,0.0125,-2.60268968544438,51.1625,colourful,fusiform,herbivore,2
1662,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,1,0,demersal,solitary,100,conspicuous,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,neutral,fusiform,carnivore,6
1663,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Acanthuridae,Acanthurus tractus,ocean surgeonfish,4,0,0,demersal,solitary,35,none,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,2,0.0125,-0.0125,0.0125,-2.60268968544438,51.1625,neutral,compressiform,herbivore,4
1664,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Gobiidae,Coryphopterus eidolon,pallid goby,1,0,0,demersal,solitary,6,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,9,0.05625,-0.05625,0.05625,-4.04742764243435,51.1625,camouflage,elongated,omnivore,1
1665,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Haemulidae,Anisotremus virginicus,porkfish,2,0,1,demersal,solitary,40.6,conspicuous,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,colourful,compressiform,invertivore,2
1666,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Scarus taeniopterus,princess parrotfish,5,0,0,demersal,shoaling,35,conspicuous,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,2,0.0125,-0.0125,0.0125,-2.60268968544438,51.1625,colourful,fusiform,herbivore,5
1667,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Pomacanthidae,Holacanthus ciliaris,queen angelfish,4,0,0,demersal,solitary,45,conspicuous,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,colourful,compressiform,invertivore,4
1668,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,1,0,0,demersal,shoaling,28,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,31,0.19375,-0.19375,0.19375,-5.27171668475086,51.1625,colourful,fusiform,herbivore,1
1669,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,2,0,0,demersal,shoaling,28,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,20,0.125,-0.125,0.125,-4.83628190695148,51.1625,colourful,fusiform,herbivore,2
1670,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,3,0,0,demersal,shoaling,28,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,2,0.0125,-0.0125,0.0125,-2.60268968544438,51.1625,colourful,fusiform,herbivore,3
1671,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,4,0,0,demersal,shoaling,28,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,4,0.025,-0.025,0.025,-3.25809653802148,51.1625,colourful,fusiform,herbivore,4
1672,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,5,0,0,demersal,shoaling,28,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,colourful,fusiform,herbivore,5
1673,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Chaenopsidae,Acanthemblemaria aspera,roughhead blenny,1,0,0,benthic,solitary,4,cryptic,1,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,6,0.0375,-0.0375,0.0375,-3.65065824129374,51.1625,camouflage,elongated,invertivore,1
1674,166,KL-W8,Continuous,40,10,28.7692307692308,Tetraodontiformes,Tetraodontidae,Canthigaster rostrata,sharpnose puffer,2,0,0,demersal,solitary,12,conspicuous,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,colourful,globiform,omnivore,2
1675,166,KL-W8,Continuous,40,10,28.7692307692308,Tetraodontiformes,Ostraciidae,Lactophrys triqueter,smooth trunkfish,3,0,0,demersal,solitary,30,conspicuous,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,colourful,globiform,invertivore,3
1676,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,2,0,0,demersal,shoaling,50,none,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,2,0.0125,-0.0125,0.0125,-2.60268968544438,51.1625,colourful,fusiform,omnivore,2
1677,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,5,0,0,demersal,shoaling,50,none,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,1,0.00625,-0.00625,0.00625,-1.98100146886658,51.1625,colourful,fusiform,omnivore,5
1679,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Labridae,Halichoeres garnoti,yellowhead wrasse,4,0,0,demersal,shoaling,19.3,conspicuous,0,2014-09-24,65,153.93804,0,0,2014-09-24,37.325,160,2,0.0125,-0.0125,0.0125,-2.60268968544438,51.1625,colourful,elongated,invertivore,4
1682,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacentridae,Stegastes xanthurus,cocoa damselfish,1,0,0,demersal,solitary,12.5,conspicuous,0,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,0,0,0.0353677651344195,0.0353677651344195,3.59368280906083,8.25,neutral,compressiform,omnivore,1
1683,168,KL-P11,Patch,50,5,33.76,Perciformes,Labridae,Scarus iseri,striped parrotfish,1,0,0,demersal,shoaling,35,conspicuous,0,2014-09-25,10,28.27433388,4.5,0.159154943104888,2014-09-25,6.5,120,24,0.2,-0.0408450568951123,0.359154943104888,-0.227163167011066,8.25,colourful,fusiform,herbivore,1
1684,168,KL-P11,Patch,50,5,33.76,Perciformes,Haemulidae,Haemulon plumierii,white grunt,2,0,0,demersal,schooling,59,none,0,2014-09-25,10,28.27433388,3.75,0.132629119254073,2014-09-25,6.5,120,52,0.433333333333333,-0.30070421407926,0.565962452587407,-1.17874409261512,8.25,silvering,compressiform,carnivore,2
1685,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacentridae,Abudefduf saxatilis,sergeant major,1,0,0,demersal,shoaling,23,conspicuous,0,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,0,0,0.0353677651344195,0.0353677651344195,3.59368280906083,8.25,colourful,compressiform,omnivore,1
1686,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacentridae,Abudefduf saxatilis,sergeant major,2,0,0,demersal,shoaling,23,conspicuous,0,2014-09-25,10,28.27433388,6,0.212206590806517,2014-09-25,6.5,120,2,0.0166666666666667,0.19553992413985,0.228873257473184,2.49058198065649,8.25,colourful,compressiform,omnivore,2
1687,168,KL-P11,Patch,50,5,33.76,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,1,0,0,demersal,shoaling,50,none,0,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,2,0.0166666666666667,0.0187010984677528,0.0520344318010862,0.722003184176822,8.25,colourful,fusiform,omnivore,1
1688,168,KL-P11,Patch,50,5,33.76,Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,2,0,0,demersal,solitary,5.6,cryptic,0,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,6,0.05,-0.0146322348655805,0.0853677651344195,-0.338142823663492,8.25,camouflage,elongated,omnivore,2
1689,168,KL-P11,Patch,50,5,33.76,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,2,0,0,demersal,shoaling,25,conspicuous,0,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,5,0.0416666666666667,-0.00629890153224717,0.0770344318010862,-0.159735166190674,8.25,colourful,fusiform,planktivore,2
1690,168,KL-P11,Patch,50,5,33.76,Perciformes,Chaetodontidae,Chaetodon capistratus,foureye butterflyfish,2,0,0,demersal,solitary,7.5,conspicuous,1,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,7,0.0583333333333333,-0.0229655681989138,0.0937010984677528,-0.489488452563141,8.25,colourful,compressiform,invertivore,2
1691,168,KL-P11,Patch,50,5,33.76,Perciformes,Labridae,Scarus coeruleus,blue parrotfish,2,0,0,demersal,solitary,90,none,1,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,1,0.00833333333333333,0.0270344318010862,0.0437010984677528,1.36009058755374,8.25,neutral,fusiform,omnivore,2
1692,168,KL-P11,Patch,50,5,33.76,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,3,0,0,demersal,shoaling,28,cryptic,1,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,2,0.0166666666666667,0.0187010984677528,0.0520344318010862,0.722003184176822,8.25,colourful,fusiform,herbivore,3
1693,168,KL-P11,Patch,50,5,33.76,Perciformes,Acanthuridae,Acanthurus coeruleus,blue tang,3,0,0,demersal,solitary,36,cryptic,0,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,2,0.0166666666666667,0.0187010984677528,0.0520344318010862,0.722003184176822,8.25,colourful,compressiform,herbivore,3
1694,168,KL-P11,Patch,50,5,33.76,Perciformes,Lutjanidae,Lutjanus griseus,gray snapper,6,1,1,demersal,schooling,89,none,0,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,0,0,0.0353677651344195,0.0353677651344195,3.59368280906083,8.25,silvering,fusiform,carnivore,6
1695,168,KL-P11,Patch,50,5,33.76,Perciformes,Serranidae,Hypoplectrus unicolor,butter hamlet,2,0,0,demersal,solitary,13,conspicuous,1,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,5,0.0416666666666667,-0.00629890153224717,0.0770344318010862,-0.159735166190674,8.25,neutral,compressiform,carnivore,2
1696,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacanthidae,Holacanthus ciliaris,queen angelfish,2,0,0,demersal,solitary,45,conspicuous,0,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,3,0.025,0.0103677651344195,0.0603677651344195,0.335586271039352,8.25,colourful,compressiform,invertivore,2
1698,168,KL-P11,Patch,50,5,33.76,Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,6,0,0,demersal,schooling,86.3,conspicuous,0,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,0,0,0.0353677651344195,0.0353677651344195,3.59368280906083,8.25,colourful,fusiform,carnivore,6
1699,168,KL-P11,Patch,50,5,33.76,Perciformes,Labridae,Scarus iseri,striped parrotfish,2,0,0,demersal,shoaling,35,conspicuous,0,2014-09-25,10,28.27433388,13.5,0.477464829314663,2014-09-25,6.5,120,40,0.333333333333333,0.14413149598133,0.810798162647997,0.358444206943055,8.25,colourful,fusiform,herbivore,2
1700,168,KL-P11,Patch,50,5,33.76,Perciformes,Haemulidae,Haemulon plumierii,white grunt,3,0,0,demersal,schooling,59,none,0,2014-09-25,10,28.27433388,1.25,0.0442097064180244,2014-09-25,6.5,120,4,0.0333333333333333,0.010876373084691,0.0775430397513577,0.27519510798412,8.25,silvering,compressiform,carnivore,3
1701,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacentridae,Stegastes xanthurus,cocoa damselfish,2,0,0,demersal,solitary,12.5,conspicuous,0,2014-09-25,10,28.27433388,1,0.0353677651344195,2014-09-25,6.5,120,0,0,0.0353677651344195,0.0353677651344195,3.59368280906083,8.25,neutral,compressiform,omnivore,2
1702,168,KL-P11,Patch,50,5,33.76,Tetraodontiformes,Diodontidae,Diodon holocanthus,balloonfish,4,0,1,demersal,solitary,50,conspicuous,0,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,8.25,camouflage,globiform,invertivore,4
1703,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacentridae,Stegastes leucostictus,beaugregory,1,0,0,demersal,solitary,10,none,0,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,13,0.108333333333333,-0.108333333333333,0.108333333333333,-4.69440131971603,8.25,neutral,compressiform,omnivore,1
1704,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacentridae,Stegastes leucostictus,beaugregory,2,0,0,demersal,solitary,10,none,0,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,29,0.241666666666667,-0.241666666666667,0.241666666666667,-5.49168875952858,8.25,neutral,compressiform,omnivore,2
1705,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacentridae,Stegastes partitus,bicolor damselfish,2,0,0,demersal,solitary,10,conspicuous,0,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,8.25,colourful,compressiform,omnivore,2
1706,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacanthidae,Holacanthus bermudensis,blue angelfish,1,0,0,demersal,solitary,45,conspicuous,0,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,8.25,colourful,compressiform,invertivore,1
1707,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacanthidae,Holacanthus bermudensis,blue angelfish,2,0,0,demersal,solitary,45,conspicuous,0,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,8.25,colourful,compressiform,invertivore,2
1708,168,KL-P11,Patch,50,5,33.76,Perciformes,Labridae,Scarus coeruleus,blue parrotfish,1,0,0,demersal,solitary,90,none,1,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,8.25,neutral,fusiform,omnivore,1
1709,168,KL-P11,Patch,50,5,33.76,Perciformes,Labridae,Scarus coeruleus,blue parrotfish,3,0,0,demersal,solitary,90,none,1,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,8.25,neutral,fusiform,omnivore,3
1710,168,KL-P11,Patch,50,5,33.76,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,3,0,0,demersal,shoaling,25,conspicuous,0,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,8.25,colourful,fusiform,planktivore,3
1711,168,KL-P11,Patch,50,5,33.76,Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,2,0,0,demersal,schooling,46,none,0,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,2,0.0166666666666667,-0.0166666666666667,0.0166666666666667,-2.87167962488401,8.25,colourful,fusiform,invertivore,2
1712,168,KL-P11,Patch,50,5,33.76,Perciformes,Gobiidae,Coryphopterus glaucofraenum,bridled goby,1,0,0,demersal,solitary,8,cryptic,1,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,3,0.025,-0.025,0.025,-3.25809653802148,8.25,camouflage,elongated,omnivore,1
1713,168,KL-P11,Patch,50,5,33.76,Perciformes,Gobiidae,Coryphopterus glaucofraenum,bridled goby,2,0,0,demersal,solitary,8,cryptic,1,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,8.25,camouflage,elongated,omnivore,2
1714,168,KL-P11,Patch,50,5,33.76,Perciformes,Pomacentridae,Stegastes adustus,dusky damselfish,2,0,0,demersal,solitary,15,none,0,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,3,0.025,-0.025,0.025,-3.25809653802148,8.25,neutral,compressiform,herbivore,2
1715,168,KL-P11,Patch,50,5,33.76,Perciformes,Haemulidae,Haemulon flavolineatum,french grunt,2,0,0,demersal,schooling,30,none,1,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,15,0.125,-0.125,0.125,-4.83628190695148,8.25,colourful,fusiform,invertivore,2
1716,168,KL-P11,Patch,50,5,33.76,Perciformes,Haemulidae,Haemulon flavolineatum,french grunt,3,0,0,demersal,schooling,30,none,1,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,8.25,colourful,fusiform,invertivore,3
1717,168,KL-P11,Patch,50,5,33.76,Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,1,0,0,demersal,solitary,5.6,cryptic,0,2014-09-25,10,28.27433388,0,0,2014-09-25,6.5,120,2,0.0166666666666667,-0.0166666666666667,0.0166666666666667,-2.87167962488401,8.25,camouflage,elongated,omnivore,1
