X,session,site,habitat,octocoral,stony,relief_cm,species_order,family,binomial,species,size_bin,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,SVC_date,SVC_max_depth,SVC_area,SVC_abundance,SVC_density,pred_date,pred_depth,pred_area,pred_abundance,pred_density,SVC_pred_difference,total_density,log_difference,average_depth,colouration2,shape,fnt_group,size_bin_char
105,156,BISC-W60-4b,Continuous,60,5,27.9230769230769,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-19,52,153.93804,0,0,2014-09-19,53,2000,2,0.001,-0.001,0.001,-0.693147180559945,52.5,camouflage,anguilliform,carnivore,6
106,156,BISC-W60-4b,Continuous,60,5,27.9230769230769,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,6,1,0,demersal,solitary,50,cryptic,1,2014-09-19,52,153.93804,0,0,2014-09-19,53,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,52.5,camouflage,fusiform,carnivore,6
107,157,Dixie Ledge,Continuous,30,5,48.3461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-22,60,153.93804,0,0,2014-09-22,51,2000,10,0.005,-0.005,0.005,-1.79175946922805,55.5,neutral,fusiform,carnivore,2
108,157,Dixie Ledge,Continuous,30,5,48.3461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-22,60,153.93804,0,0,2014-09-22,51,2000,3,0.0015,-0.0015,0.0015,-0.916290731874155,55.5,neutral,fusiform,carnivore,3
110,157,Dixie Ledge,Continuous,30,5,48.3461538461538,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,2,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-22,60,153.93804,0,0,2014-09-22,51,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55.5,neutral,fusiform,carnivore,2
111,157,Dixie Ledge,Continuous,30,5,48.3461538461538,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-22,60,153.93804,0,0,2014-09-22,51,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55.5,neutral,fusiform,carnivore,6
112,157,Dixie Ledge,Continuous,30,5,48.3461538461538,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,3,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-22,60,153.93804,0,0,2014-09-22,51,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55.5,neutral,fusiform,carnivore,3
113,157,Dixie Ledge,Continuous,30,5,48.3461538461538,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,4,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-22,60,153.93804,0,0,2014-09-22,51,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55.5,neutral,fusiform,carnivore,4
114,157,Dixie Ledge,Continuous,30,5,48.3461538461538,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,5,1,0,demersal,solitary,94,cryptic,0,2014-09-22,60,153.93804,0,0,2014-09-22,51,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55.5,silvering,fusiform,invertivore,5
115,157,Dixie Ledge,Continuous,30,5,48.3461538461538,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,1,0,demersal,solitary,100,conspicuous,1,2014-09-22,60,153.93804,0,0,2014-09-22,51,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55.5,neutral,fusiform,carnivore,6
116,158,KL-P6,Patch,50,10,54.5833333333333,Anguilliformes,Muraenidae,Gymnothorax vicinus,purplemouth moray,6,1,0,demersal,solitary,122,none,1,2014-09-22,20,78.53981634,0,0,2014-09-22,20,399,1,0.0025062656641604,-0.0025062656641604,0.0025062656641604,-1.25455155777562,20,neutral,anguilliform,carnivore,6
117,158,KL-P6,Patch,50,10,54.5833333333333,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-22,20,78.53981634,0,0,2014-09-22,20,399,3,0.0075187969924812,-0.0075187969924812,0.0075187969924812,-2.14227513280625,20,camouflage,anguilliform,carnivore,6
118,158,KL-P6,Patch,50,10,54.5833333333333,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,1,0,demersal,solitary,145,none,1,2014-09-22,20,78.53981634,0,0,2014-09-22,20,399,1,0.0025062656641604,-0.0025062656641604,0.0025062656641604,-1.25455155777562,20,neutral,fusiform,carnivore,6
119,158,KL-P6,Patch,50,10,54.5833333333333,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-22,20,78.53981634,0,0,2014-09-22,20,399,1,0.0025062656641604,-0.0025062656641604,0.0025062656641604,-1.25455155777562,20,neutral,fusiform,carnivore,6
122,159,KL-P7,Patch,70,10,56.2777777777778,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-22,20,78.53981634,1,0.0127323954473103,2014-09-22,15,1606.5,1,6.22471210706505e-4,0.0121099242366038,0.0133548666580168,2.13580724703149,17.5,neutral,fusiform,carnivore,6
125,159,KL-P7,Patch,70,10,56.2777777777778,Perciformes,Epinephelidae,Epinephelus morio,red grouper,5,1,0,demersal,solitary,125,none,1,2014-09-22,20,78.53981634,0,0,2014-09-22,15,1606.5,1,6.22471210706505e-4,-6.22471210706505e-4,6.22471210706505e-4,-0.483950425652247,17.5,neutral,fusiform,carnivore,5
126,159,KL-P7,Patch,70,10,56.2777777777778,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-22,20,78.53981634,0,0,2014-09-22,15,1606.5,3,0.00186741363211951,-0.00186741363211951,0.00186741363211951,-1.05341044999307,17.5,neutral,fusiform,carnivore,6
128,160,KL-P8,Patch,60,10,41.84375,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-22,12,78.53981634,1,0.0127323954473103,2014-09-22,11,3990,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,11.5,neutral,fusiform,carnivore,6
129,160,KL-P8,Patch,60,10,41.84375,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-22,12,78.53981634,1,0.0127323954473103,2014-09-22,11,3990,1,2.5062656641604e-4,0.0124817688808942,0.0129830220137263,2.39611299382208,11.5,neutral,fusiform,carnivore,6
132,160,KL-P8,Patch,60,10,41.84375,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,4,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-22,12,78.53981634,0,0,2014-09-22,11,3990,5,0.0012531328320802,-0.0012531328320802,0.0012531328320802,-0.812321617581756,11.5,neutral,fusiform,carnivore,4
133,160,KL-P8,Patch,60,10,41.84375,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-22,12,78.53981634,0,0,2014-09-22,11,3990,1,2.5062656641604e-4,-2.5062656641604e-4,2.5062656641604e-4,-0.223644678861655,11.5,neutral,fusiform,carnivore,5
134,160,KL-P8,Patch,60,10,41.84375,Perciformes,Epinephelidae,Epinephelus morio,red grouper,5,1,0,demersal,solitary,125,none,1,2014-09-22,12,78.53981634,0,0,2014-09-22,11,3990,2,5.0125313283208e-4,-5.0125313283208e-4,5.0125313283208e-4,-0.406300181225586,11.5,neutral,fusiform,carnivore,5
135,160,KL-P8,Patch,60,10,41.84375,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-22,12,78.53981634,0,0,2014-09-22,11,3990,1,2.5062656641604e-4,-2.5062656641604e-4,2.5062656641604e-4,-0.223644678861655,11.5,camouflage,anguilliform,carnivore,6
136,161,KL-W7,Continuous,50,10,52.8076923076923,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-22,65,153.93804,1,0.00649612012729277,2014-09-22,52,2000,7,0.0035,0.00299612012729277,0.00999612012729277,0.510308173550754,58.5,neutral,fusiform,carnivore,2
137,161,KL-W7,Continuous,50,10,52.8076923076923,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2014-09-22,65,153.93804,1,0.00649612012729277,2014-09-22,52,2000,4,0.002,0.00449612012729277,0.00849612012729277,0.915773281658918,58.5,silvering,fusiform,invertivore,6
138,161,KL-W7,Continuous,50,10,52.8076923076923,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-22,65,153.93804,0,0,2014-09-22,52,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,58.5,neutral,fusiform,carnivore,3
140,161,KL-W7,Continuous,50,10,52.8076923076923,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-22,65,153.93804,0,0,2014-09-22,52,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,58.5,neutral,fusiform,carnivore,5
141,161,KL-W7,Continuous,50,10,52.8076923076923,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-22,65,153.93804,0,0,2014-09-22,52,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,58.5,neutral,fusiform,carnivore,6
142,161,KL-W7,Continuous,50,10,52.8076923076923,Perciformes,Epinephelidae,Cephalopholis fulva,coney,4,1,1,demersal,solitary,41,conspicuous,1,2014-09-22,65,153.93804,0,0,2014-09-22,52,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,58.5,neutral,fusiform,carnivore,4
143,161,KL-W7,Continuous,50,10,52.8076923076923,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,1,1,1,demersal,solitary,33,conspicuous,1,2014-09-22,65,153.93804,0,0,2014-09-22,52,2000,2,0.001,-0.001,0.001,-0.693147180559945,58.5,neutral,fusiform,carnivore,1
144,161,KL-W7,Continuous,50,10,52.8076923076923,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-22,65,153.93804,0,0,2014-09-22,52,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,58.5,neutral,fusiform,carnivore,5
145,161,KL-W7,Continuous,50,10,52.8076923076923,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-22,65,153.93804,0,0,2014-09-22,52,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,58.5,camouflage,anguilliform,carnivore,6
148,162,DANGER 88,Patch,20,0,70.5,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,5,1,0,demersal,solitary,50,cryptic,1,2014-09-24,15,12.56637061,0,0,2014-09-24,8,283.5,1,0.00352733686067019,-0.00352733686067019,0.00352733686067019,-1.51013387714339,11.5,camouflage,fusiform,carnivore,5
149,164,KL-P4,Patch,35,10,28.9333333333333,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-24,13,28.27433388,1,0.0353677651344195,2014-09-24,15,576,1,0.00173611111111111,0.0336316540233084,0.0371038762455306,2.5871451993389,14,neutral,fusiform,carnivore,5
151,164,KL-P4,Patch,35,10,28.9333333333333,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,4,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-24,13,28.27433388,0,0,2014-09-24,15,576,1,0.00173611111111111,-0.00173611111111111,0.00173611111111111,-1.00653760972193,14,neutral,fusiform,carnivore,4
152,165,KL-W2,Continuous,35,5,30.6,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-24,68,153.93804,1,0.00649612012729277,2014-09-24,57.5,2000,4,0.002,0.00449612012729277,0.00849612012729277,0.915773281658918,62.75,neutral,fusiform,carnivore,3
154,165,KL-W2,Continuous,35,5,30.6,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-24,68,153.93804,0,0,2014-09-24,57.5,2000,4,0.002,-0.002,0.002,-1.09861228866811,62.75,neutral,fusiform,carnivore,2
155,165,KL-W2,Continuous,35,5,30.6,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-24,68,153.93804,0,0,2014-09-24,57.5,2000,6,0.003,-0.003,0.003,-1.38629436111989,62.75,neutral,fusiform,carnivore,4
156,165,KL-W2,Continuous,35,5,30.6,Perciformes,Epinephelidae,Rypticus saponaceus,greater soapfish,5,1,0,demersal,solitary,35,none,1,2014-09-24,68,153.93804,0,0,2014-09-24,57.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,62.75,neutral,fusiform,carnivore,5
157,165,KL-W2,Continuous,35,5,30.6,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2014-09-24,68,153.93804,0,0,2014-09-24,57.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,62.75,silvering,fusiform,invertivore,6
158,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,57.5,2000,1,5e-4,0.00599612012729277,0.00699612012729277,1.60892046221886,61.25,silvering,fusiform,invertivore,6
159,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,57.5,2000,2,0.001,0.00549612012729277,0.00749612012729277,1.32123838976708,61.25,neutral,fusiform,carnivore,6
160,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Sphyraenidae,Sphyraena barracuda,barracuda,6,1,0,demersal,solitary,180,cryptic,0,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,57.5,2000,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,61.25,silvering,elongated,carnivore,6
161,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-24,65,153.93804,1,0.00649612012729277,2014-09-24,57.5,2000,2,0.001,0.00549612012729277,0.00749612012729277,1.32123838976708,61.25,neutral,fusiform,carnivore,3
163,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-24,65,153.93804,0,0,2014-09-24,57.5,2000,7,0.0035,-0.0035,0.0035,-1.50407739677627,61.25,neutral,fusiform,carnivore,2
164,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,1,0,demersal,solitary,100,conspicuous,1,2014-09-24,65,153.93804,0,0,2014-09-24,57.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,61.25,neutral,fusiform,carnivore,6
166,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Epinephelidae,Cephalopholis fulva,coney,6,1,1,demersal,solitary,41,conspicuous,1,2014-09-24,65,153.93804,0,0,2014-09-24,57.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,61.25,neutral,fusiform,carnivore,6
167,166,KL-W8,Continuous,40,10,28.7692307692308,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-24,65,153.93804,0,0,2014-09-24,57.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,61.25,neutral,fusiform,carnivore,4
169,168,KL-P11,Patch,50,5,33.76,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,3,1,0,demersal,solitary,152,none,1,2014-09-25,10,28.27433388,0,0,2014-09-25,10,1197,1,8.35421888053467e-4,-8.35421888053467e-4,8.35421888053467e-4,-0.607274366826637,10,neutral,fusiform,carnivore,3
170,168,KL-P11,Patch,50,5,33.76,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-25,10,28.27433388,0,0,2014-09-25,10,1197,1,8.35421888053467e-4,-8.35421888053467e-4,8.35421888053467e-4,-0.607274366826637,10,neutral,fusiform,carnivore,6
171,168,KL-P11,Patch,50,5,33.76,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,1,0,demersal,solitary,145,none,1,2014-09-25,10,28.27433388,0,0,2014-09-25,10,1197,1,8.35421888053467e-4,-8.35421888053467e-4,8.35421888053467e-4,-0.607274366826637,10,neutral,fusiform,carnivore,6
172,168,KL-P11,Patch,50,5,33.76,Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,6,1,1,demersal,solitary,250,none,1,2014-09-25,10,28.27433388,0,0,2014-09-25,10,1197,1,8.35421888053467e-4,-8.35421888053467e-4,8.35421888053467e-4,-0.607274366826637,10,neutral,anguilliform,carnivore,6
173,168,KL-P11,Patch,50,5,33.76,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,4,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-25,10,28.27433388,0,0,2014-09-25,10,1197,1,8.35421888053467e-4,-8.35421888053467e-4,8.35421888053467e-4,-0.607274366826637,10,neutral,fusiform,carnivore,4
174,168,KL-P11,Patch,50,5,33.76,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-25,10,28.27433388,0,0,2014-09-25,10,1197,2,0.00167084377610693,-0.00167084377610693,0.00167084377610693,-0.982394443501868,10,neutral,fusiform,carnivore,5
175,168,KL-P11,Patch,50,5,33.76,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-25,10,28.27433388,0,0,2014-09-25,10,1197,1,8.35421888053467e-4,-8.35421888053467e-4,8.35421888053467e-4,-0.607274366826637,10,camouflage,anguilliform,carnivore,6
177,169,KL-P13,Patch,40,15,29.0357142857143,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,3,1,0,demersal,solitary,152,none,1,2014-09-25,10,78.53981634,1,0.0127323954473103,2014-09-25,10,1881,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,10,neutral,fusiform,carnivore,3
178,169,KL-P13,Patch,40,15,29.0357142857143,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,1,0,demersal,solitary,145,none,1,2014-09-25,10,78.53981634,1,0.0127323954473103,2014-09-25,10,1881,2,0.00106326422115896,0.0116691312261513,0.0137956596684692,1.89546837061586,10,neutral,fusiform,carnivore,6
183,169,KL-P13,Patch,40,15,29.0357142857143,Perciformes,Epinephelidae,Epinephelus morio,red grouper,5,1,0,demersal,solitary,125,none,1,2014-09-25,10,78.53981634,0,0,2014-09-25,10,1881,1,5.31632110579479e-4,-5.31632110579479e-4,5.31632110579479e-4,-0.426333905783498,10,neutral,fusiform,carnivore,5
184,169,KL-P13,Patch,40,15,29.0357142857143,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-25,10,78.53981634,0,0,2014-09-25,10,1881,3,0.00159489633173844,-0.00159489633173844,0.00159489633173844,-0.953546566586117,10,neutral,fusiform,carnivore,6
186,169,KL-P13,Patch,40,15,29.0357142857143,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,4,1,0,demersal,solitary,152,none,1,2014-09-25,10,78.53981634,0,0,2014-09-25,10,1881,1,5.31632110579479e-4,-5.31632110579479e-4,5.31632110579479e-4,-0.426333905783498,10,neutral,fusiform,carnivore,4
187,169,KL-P13,Patch,40,15,29.0357142857143,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,5,1,0,demersal,solitary,152,none,1,2014-09-25,10,78.53981634,0,0,2014-09-25,10,1881,1,5.31632110579479e-4,-5.31632110579479e-4,5.31632110579479e-4,-0.426333905783498,10,neutral,fusiform,carnivore,5
188,169,KL-P13,Patch,40,15,29.0357142857143,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-25,10,78.53981634,0,0,2014-09-25,10,1881,1,5.31632110579479e-4,-5.31632110579479e-4,5.31632110579479e-4,-0.426333905783498,10,neutral,fusiform,carnivore,6
189,169,KL-P13,Patch,40,15,29.0357142857143,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,4,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-25,10,78.53981634,0,0,2014-09-25,10,1881,1,5.31632110579479e-4,-5.31632110579479e-4,5.31632110579479e-4,-0.426333905783498,10,neutral,fusiform,carnivore,4
193,170,KL-P14,Patch,60,5,36.7142857142857,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,1,0,demersal,solitary,145,none,1,2014-09-25,12,50.26548246,0,0,2014-09-25,10,816,2,0.00245098039215686,-0.00245098039215686,0.00245098039215686,-1.23865836231383,11,neutral,fusiform,carnivore,6
196,170,KL-P14,Patch,60,5,36.7142857142857,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-25,12,50.26548246,0,0,2014-09-25,10,816,1,0.00122549019607843,-0.00122549019607843,0.00122549019607843,-0.799977204197131,11,neutral,fusiform,carnivore,6
198,171,KL-W11,Continuous,17,3,47.9615384615385,Perciformes,Sphyraenidae,Sphyraena barracuda,barracuda,6,1,0,demersal,solitary,180,cryptic,0,2014-09-25,45,153.93804,1,0.00649612012729277,2014-09-25,40,2000,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,42.5,silvering,elongated,carnivore,6
199,171,KL-W11,Continuous,17,3,47.9615384615385,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2014-09-25,45,153.93804,1,0.00649612012729277,2014-09-25,40,2000,1,5e-4,0.00599612012729277,0.00699612012729277,1.60892046221886,42.5,silvering,fusiform,invertivore,6
200,171,KL-W11,Continuous,17,3,47.9615384615385,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-25,45,153.93804,1,0.00649612012729277,2014-09-25,40,2000,1,5e-4,0.00599612012729277,0.00699612012729277,1.60892046221886,42.5,neutral,fusiform,carnivore,4
201,171,KL-W11,Continuous,17,3,47.9615384615385,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-25,45,153.93804,0,0,2014-09-25,40,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,42.5,neutral,fusiform,carnivore,6
202,171,KL-W11,Continuous,17,3,47.9615384615385,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-25,45,153.93804,0,0,2014-09-25,40,2000,8,0.004,-0.004,0.004,-1.6094379124341,42.5,neutral,fusiform,carnivore,3
203,171,KL-W11,Continuous,17,3,47.9615384615385,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-25,45,153.93804,0,0,2014-09-25,40,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,42.5,camouflage,anguilliform,carnivore,6
204,172,KL-W12,Continuous,45,2,21.16,Perciformes,Epinephelidae,Cephalopholis fulva,coney,5,1,1,demersal,solitary,41,conspicuous,1,2014-09-26,55,153.93804,1,0.00649612012729277,2014-09-26,55,2000,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,55,neutral,fusiform,carnivore,5
205,172,KL-W12,Continuous,45,2,21.16,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-26,55,153.93804,1,0.00649612012729277,2014-09-26,55,2000,3,0.0015,0.00499612012729277,0.00799612012729277,1.09809483845287,55,neutral,fusiform,carnivore,4
206,172,KL-W12,Continuous,45,2,21.16,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-26,55,153.93804,0,0,2014-09-26,55,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55,neutral,fusiform,carnivore,2
208,172,KL-W12,Continuous,45,2,21.16,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-26,55,153.93804,0,0,2014-09-26,55,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55,neutral,fusiform,carnivore,6
209,172,KL-W12,Continuous,45,2,21.16,Perciformes,Epinephelidae,Cephalopholis fulva,coney,6,1,1,demersal,solitary,41,conspicuous,1,2014-09-26,55,153.93804,0,0,2014-09-26,55,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55,neutral,fusiform,carnivore,6
210,172,KL-W12,Continuous,45,2,21.16,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,6,1,1,demersal,solitary,33,conspicuous,1,2014-09-26,55,153.93804,0,0,2014-09-26,55,2000,3,0.0015,-0.0015,0.0015,-0.916290731874155,55,neutral,fusiform,carnivore,6
211,172,KL-W12,Continuous,45,2,21.16,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2014-09-26,55,153.93804,0,0,2014-09-26,55,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55,silvering,fusiform,invertivore,6
212,172,KL-W12,Continuous,45,2,21.16,Perciformes,Epinephelidae,Epinephelus guttatus,red hind,6,1,0,demersal,solitary,76,conspicuous,0,2014-09-26,55,153.93804,0,0,2014-09-26,55,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55,neutral,fusiform,invertivore,6
213,174,FKSP1,Patch,0,15,64.8,Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,6,1,1,demersal,solitary,250,none,1,2014-09-28,15,28.27433388,0,0,2014-09-28,15,648,1,0.00154320987654321,-0.00154320987654321,0.00154320987654321,-0.933427014117142,15,neutral,anguilliform,carnivore,6
214,174,FKSP1,Patch,0,15,64.8,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,1,0,demersal,solitary,100,conspicuous,1,2014-09-28,15,28.27433388,0,0,2014-09-28,15,648,1,0.00154320987654321,-0.00154320987654321,0.00154320987654321,-0.933427014117142,15,neutral,fusiform,carnivore,6
215,175,Ten 2A,Continuous,20,5,30.8461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,33,153.93804,1,0.00649612012729277,2014-09-28,32,2000,3,0.0015,0.00499612012729277,0.00799612012729277,1.09809483845287,32.5,neutral,fusiform,carnivore,3
216,175,Ten 2A,Continuous,20,5,30.8461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,33,153.93804,1,0.00649612012729277,2014-09-28,32,2000,5,0.0025,0.00399612012729277,0.00899612012729277,0.761622601831659,32.5,neutral,fusiform,carnivore,4
218,175,Ten 2A,Continuous,20,5,30.8461538461538,Perciformes,Haemulidae,Anisotremus surinamensis,black margate,6,1,0,demersal,solitary,76,cryptic,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,2,0.001,-0.001,0.001,-0.693147180559945,32.5,silvering,compressiform,invertivore,6
