"","session","species","size_bin","SVC_abundance"
"779",163,"butter hamlet",2,1
"780",163,"cocoa damselfish",2,1
"781",163,"doctorfish",3,1
"782",163,"porkfish",3,1
"783",163,"blue parrotfish",2,1
"784",163,"french grunt",3,1
"785",163,"blue tang",3,1
"786",163,"rosy blenny",1,1
"787",163,"striped parrotfish",2,6.5
"788",163,"gray snapper",5,5.25
"789",163,"bluestriped grunt",5,3.5
"790",163,"white grunt",5,4.25
"791",163,"gray angelfish",4,1
"792",163,"striped parrotfish",3,1
"793",164,"sergeant major",2,2
"794",164,"foureye butterflyfish",1,1
"795",164,"rainbow parrotfish",6,2
"796",164,"slippery dick",2,2
"797",164,"redband parrotfish",1,1
"798",164,"doctorfish",3,1
"799",164,"stoplight parrotfish",1,1
"800",164,"white grunt",2,1
"801",164,"striped parrotfish",1,31.5
"802",164,"white grunt",3,60.5
"803",164,"blue tang",2,1
"804",164,"hogfish",6,1
"805",164,"cocoa damselfish",2,1
"806",164,"reef butterflyfish",2,1
"807",164,"lionfish",5,1
"808",164,"bluehead wrasse",2,1
"809",164,"bicolor damselfish",2,1
"810",164,"yellow jack",5,1
"811",164,"blue parrotfish",6,1
"812",164,"ocean surgeonfish",2,1
"813",164,"french grunt",2,1
"814",164,"queen angelfish",2,1
"815",164,"butter hamlet",2,1
"816",164,"porkfish",3,1
"817",164,"highhat",2,1
"818",164,"goldspot goby",2,1
"819",164,"stoplight parrotfish",2,2
"820",164,"white grunt",4,20.5
"821",164,"striped parrotfish",2,10.5
"822",164,"foureye butterflyfish",2,1
"823",164,"redband parrotfish",3,1
"824",164,"doctorfish",4,1
"825",165,"reef butterflyfish",2,2
"826",165,"spotfin butterflyfish",2,2
"827",165,"greenblotch parrotfish",1,1
"828",165,"harlequin bass",2,2
"829",165,"sharpnose puffer",1,1
"830",165,"yellowhead wrasse",2,1
"831",165,"blue tang",3,4
"832",165,"bicolor damselfish",1,9.25
"833",165,"blue chromis",2,17
"834",165,"brown chromis",1,1
"835",165,"bluehead wrasse",1,1
"836",165,"redband parrotfish",2,4.5
"837",165,"striped parrotfish",1,1
"838",165,"creole wrasse",1,75
"839",165,"brown chromis",2,36
"840",165,"bluehead wrasse",2,68
"841",165,"striped parrotfish",2,4
"842",165,"cocoa damselfish",2,1
"843",165,"ocean surgeonfish",3,1
"844",165,"stoplight parrotfish",5,1
"845",165,"redtail parrotfish",6,1
"846",165,"white grunt",3,1
"847",165,"foureye butterflyfish",2,1
"848",165,"clown wrasse",2,1
"849",165,"rock beauty",2,1
"850",165,"spanish hogfish",4,1
"851",165,"scrawled filefish",6,1
"852",165,"gray angelfish",5,1
"853",165,"french angelfish",5,1
"854",165,"spotted trunkfish",6,1
"855",165,"graysby",3,1
"856",165,"trumpetfish",6,1
"857",165,"yellowhead wrasse",3,3
"858",165,"bicolor damselfish",2,27.75
"859",165,"creole wrasse",2,225
"860",165,"redband parrotfish",4,0.5
"861",165,"greenblotch parrotfish",2,1
"862",165,"sharpnose puffer",2,1
"863",165,"bluehead wrasse",3,1
"864",165,"redband parrotfish",5,1
"865",166,"reef butterflyfish",2,2
"866",166,"ocean surgeonfish",2,1
"867",166,"spotfin butterflyfish",3,2
"868",166,"sharpnose puffer",1,3
"869",166,"yellowhead wrasse",1,1
"870",166,"foureye butterflyfish",2,4
"871",166,"scrawled filefish",6,4
"872",166,"brown chromis",2,15
"873",166,"bicolor damselfish",1,15.25
"874",166,"bluehead wrasse",1,10
"875",166,"blue chromis",2,7
"876",166,"masked goby",1,26
"877",166,"striped parrotfish",1,1
"878",166,"princess parrotfish",2,5.25
"879",166,"creole wrasse",2,15
"880",166,"blue runner",3,1.8
"881",166,"striped parrotfish",2,4
"882",166,"blue runner",4,133.2
"883",166,"mutton snapper",6,1
"884",166,"blue parrotfish",6,1
"885",166,"rock beauty",2,1
"886",166,"butter hamlet",2,1
"887",166,"black grouper",6,1
"888",166,"balloonfish",3,1
"889",166,"barracuda",6,1
"890",166,"stoplight parrotfish",6,1
"891",166,"cero",6,1
"892",166,"queen angelfish",6,1
"893",166,"clown wrasse",2,1
"894",166,"graysby",3,1
"895",166,"harlequin bass",2,1
"896",166,"cocoa damselfish",2,1
"897",166,"french angelfish",6,1
"898",166,"blue tang",3,1
"899",166,"doctorfish",3,1
"900",166,"yellowhead wrasse",2,2
"901",166,"bicolor damselfish",2,45.75
"902",166,"bluehead wrasse",2,29
"903",166,"brown chromis",3,5
"904",166,"princess parrotfish",3,1.75
"905",166,"creole wrasse",3,5
"906",166,"blue runner",5,45
"907",166,"ocean surgeonfish",3,1
"908",166,"yellowhead wrasse",3,1
"909",166,"bluehead wrasse",3,1
"910",166,"striped parrotfish",3,1
"911",168,"cocoa damselfish",1,1
"912",168,"striped parrotfish",1,4.5
"913",168,"white grunt",2,3.75
"914",168,"sergeant major",1,1
"915",168,"sergeant major",2,6
"916",168,"stoplight parrotfish",1,1
"917",168,"goldspot goby",2,1
"918",168,"bluehead wrasse",2,1
"919",168,"foureye butterflyfish",2,1
"920",168,"blue parrotfish",2,1
"921",168,"redband parrotfish",3,1
"922",168,"blue tang",3,1
"923",168,"gray snapper",6,1
"924",168,"butter hamlet",2,1
"925",168,"queen angelfish",2,1
"926",168,"porgy sp.",3,1
"927",168,"yellowtail snapper",6,1
"928",168,"striped parrotfish",2,13.5
"929",168,"white grunt",3,1.25
"930",168,"cocoa damselfish",2,1
"931",169,"cocoa damselfish",2,2
"932",169,"foureye butterflyfish",1,1
"933",169,"french grunt",1,1
"934",169,"blue tang",3,4
"935",169,"white grunt",2,5.25
"936",169,"striped parrotfish",1,5.5
"937",169,"gray snapper",5,3.75
"938",169,"sergeant major",1,3.75
"939",169,"bluestriped grunt",4,1
"940",169,"bluestriped grunt",5,5
"941",169,"stoplight parrotfish",2,1
"942",169,"black grouper",3,1
"943",169,"queen angelfish",2,1
"944",169,"blue parrotfish",1,1
"945",169,"porkfish",3,1
"946",169,"doctorfish",3,1
"947",169,"spotfin butterflyfish",4,1
"948",169,"redband parrotfish",3,1
"949",169,"ocean surgeonfish",2,1
"950",169,"bluehead wrasse",2,1
"951",169,"balloonfish",5,1
"952",169,"gag grouper",6,1
"953",169,"foureye butterflyfish",2,2
"954",169,"french grunt",2,2
"955",169,"striped parrotfish",2,15.5
"956",169,"white grunt",4,0.75
"957",169,"gray snapper",6,1.25
"958",169,"sergeant major",2,1.25
"959",169,"white grunt",5,1
"960",169,"striped parrotfish",3,1
"961",170,"gray snapper",5,1
"962",170,"cocoa damselfish",2,2
"963",170,"yellowtail snapper",3,2
"964",170,"french grunt",2,2
"965",170,"redband parrotfish",1,2
"966",170,"white grunt",2,36
"967",170,"bluestriped grunt",2,3.75
"968",170,"bluehead wrasse",3,1
"969",170,"ocean surgeonfish",3,1
"970",170,"stoplight parrotfish",2,1
"971",170,"foureye butterflyfish",1,1
"972",170,"gray angelfish",4,1
"973",170,"butter hamlet",2,1
"974",170,"blue tang",4,1
"975",170,"slippery dick",2,1
"976",170,"striped parrotfish",2,1
"977",170,"goldspot goby",2,1
"978",170,"rainbow parrotfish",6,1
"979",170,"colon goby",1,1
"980",170,"hogfish",6,1
"981",170,"blue angelfish",6,1
"982",170,"trumpetfish",6,1
"983",170,"balloonfish",5,1
"984",170,"white grunt",3,12
"985",170,"bluestriped grunt",3,1.25
"986",170,"gray snapper",6,1
"987",170,"redband parrotfish",2,1
"988",171,"rock beauty",3,1
"989",171,"blue tang",3,2
"990",171,"reef butterflyfish",2,1
"991",171,"sharpnose puffer",1,2
"992",171,"greenblotch parrotfish",1,2
"993",171,"creole wrasse",1,3
"994",171,"blue chromis",1,1
"995",171,"bicolor damselfish",1,32.25
"996",171,"ocean surgeonfish",3,1.5
"997",171,"redband parrotfish",1,2.5
"998",171,"striped parrotfish",1,10.5
"999",171,"yellowhead wrasse",1,1
"1000",171,"bluehead wrasse",1,24
"1001",171,"masked goby",1,46
"1002",171,"scad sp.",2,3
"1003",171,"blue chromis",2,14
"1004",171,"yellowhead wrasse",2,4
"1005",171,"scad sp.",3,294
"1006",171,"white grunt",6,1
"1007",171,"butter hamlet",2,1
"1008",171,"barred hamlet",2,1
"1009",171,"brown chromis",1,1
"1010",171,"clown wrasse",2,1
"1011",171,"cocoa damselfish",2,1
"1012",171,"redtail parrotfish",6,1
"1013",171,"barracuda",6,1
"1014",171,"bar jack",4,1
"1015",171,"mutton snapper",6,1
"1016",171,"spanish hogfish",6,1
"1017",171,"harlequin bass",2,1
"1018",171,"french grunt",3,1
"1019",171,"foureye butterflyfish",2,1
"1020",171,"stoplight parrotfish",2,1
"1021",171,"graysby",4,1
"1022",171,"princess parrotfish",1,1
"1023",171,"ocean surgeonfish",4,4.5
"1024",171,"redband parrotfish",2,5
"1025",171,"bicolor damselfish",2,10.75
"1026",171,"redband parrotfish",3,2.5
"1027",171,"striped parrotfish",2,3.5
"1028",171,"bluehead wrasse",2,7
"1029",171,"rock beauty",5,1
"1030",171,"reef butterflyfish",3,1
"1031",171,"yellowhead wrasse",3,1
"1032",171,"bluehead wrasse",3,1
"1033",171,"scad sp.",4,3
"1034",172,"bluelip parrotfish",1,2
"1035",172,"yellowhead wrasse",1,1
"1036",172,"yellowhead jawfish",2,2
"1037",172,"spotfin butterflyfish",3,2
"1038",172,"reef butterflyfish",2,2
"1039",172,"striped parrotfish",2,2
"1040",172,"rock beauty",2,1
"1041",172,"greenblotch parrotfish",2,3
"1042",172,"ocean surgeonfish",2,1
"1043",172,"sharpnose puffer",1,4
"1044",172,"bicolor damselfish",1,24
"1045",172,"blue chromis",1,1
"1046",172,"redband parrotfish",1,5.25
"1047",172,"blue chromis",2,4
"1048",172,"bluehead wrasse",3,1
"1049",172,"butter hamlet",2,1
"1050",172,"harlequin bass",2,1
"1051",172,"blue tang",3,1
"1052",172,"white grunt",5,1
"1053",172,"hogfish",5,1
"1054",172,"coney",5,1
"1055",172,"stoplight parrotfish",2,1
"1056",172,"spotted goatfish",4,1
"1057",172,"foureye butterflyfish",2,1
"1058",172,"graysby",4,1
"1059",172,"clown wrasse",2,1
"1060",172,"gray angelfish",6,1
"1061",172,"ocean surgeonfish",3,3
"1062",172,"bicolor damselfish",2,8
"1063",172,"redband parrotfish",2,0.75
"1064",172,"yellowhead wrasse",3,1
"1065",172,"rock beauty",4,1
"1066",172,"sharpnose puffer",2,1
"1067",172,"redband parrotfish",3,1
"1068",173,"graysby",3,1
"1069",173,"french grunt",3,1
"1070",173,"rock beauty",2,1
"1071",173,"greenblotch parrotfish",1,2
"1072",173,"foureye butterflyfish",2,2
"1073",173,"sharpnose puffer",1,3
"1074",173,"ocean surgeonfish",3,3
"1075",173,"yellowhead wrasse",1,2.25
"1076",173,"redband parrotfish",1,1
"1077",173,"bluehead wrasse",1,15.75
"1078",173,"striped parrotfish",1,1
"1079",173,"bicolor damselfish",1,12.75
"1080",173,"blue chromis",2,9
"1081",173,"bar jack",4,5.25
"1082",173,"masked goby",1,140
"1083",173,"creole wrasse",2,1.5
"1084",173,"redband parrotfish",2,5.75
"1085",173,"striped parrotfish",2,7.25
"1086",173,"creole wrasse",3,147
"1087",173,"harlequin bass",1,1
"1088",173,"cocoa damselfish",2,1
"1089",173,"clown wrasse",2,1
"1090",173,"spotted goatfish",4,1
"1091",173,"butter hamlet",2,1
"1092",173,"blue tang",3,1
"1093",173,"black hamlet",2,1
"1094",173,"brown chromis",2,1
"1095",173,"princess parrotfish",6,1
"1096",173,"french angelfish",6,1
"1097",173,"reef butterflyfish",2,1
"1098",173,"smooth trunkfish",5,1
"1099",173,"banded butterflyfish",2,1
"1100",173,"mutton snapper",6,1
"1101",173,"spanish hogfish",3,1
"1102",173,"red grouper",6,1
"1103",173,"gray angelfish",6,1
"1104",173,"doctorfish",2,1
"1105",173,"white grunt",4,1
"1106",173,"cero",6,1
"1107",173,"yellowtail snapper",3,1
"1108",173,"yellowhead wrasse",2,5.75
"1109",173,"bicolor damselfish",2,38.25
"1110",173,"redband parrotfish",3,2.25
"1111",173,"bluehead wrasse",2,4.25
"1112",173,"striped parrotfish",3,2.75
"1113",173,"bar jack",5,1.75
"1114",173,"graysby",4,1
"1115",173,"french grunt",4,1
"1116",173,"rock beauty",3,1
"1117",173,"ocean surgeonfish",4,1
"1118",173,"yellowhead wrasse",3,1
"1119",173,"bluehead wrasse",3,1
"1120",173,"creole wrasse",4,1.5
"1121",174,"blue tang",3,2
"1122",174,"cocoa damselfish",1,1
"1123",174,"porkfish",2,3
"1124",174,"redband parrotfish",1,1
"1125",174,"white grunt",3,1
"1126",174,"bluestriped grunt",4,1
"1127",174,"striped parrotfish",1,7.75
"1128",174,"sailor's choice",4,1
"1129",174,"stoplight parrotfish",1,6
"1130",174,"white grunt",4,7.75
"1131",174,"bluestriped grunt",5,29.75
"1132",174,"sailor's choice",5,20
"1133",174,"doctorfish",3,1
"1134",174,"bluehead wrasse",2,1
"1135",174,"colon goby",1,1
"1136",174,"schoolmaster snapper",5,1
"1137",174,"redtail parrotfish",6,1
"1138",174,"bar jack",6,1
"1139",174,"foureye butterflyfish",2,1
"1140",174,"blue angelfish",5,1
"1141",174,"spotfin butterflyfish",3,1
"1142",174,"redband parrotfish",3,2
"1143",174,"white grunt",5,26.25
"1144",174,"striped parrotfish",2,15.5
"1145",174,"bluestriped grunt",6,10.25
"1146",174,"striped parrotfish",3,6.75
"1147",174,"sailor's choice",6,7
"1148",174,"stoplight parrotfish",2,2
"1149",174,"cocoa damselfish",2,1
"1150",174,"striped parrotfish",5,1
"1151",175,"harlequin bass",2,1
"1152",175,"graysby",3,1
"1153",175,"smooth trunkfish",3,1
"1154",175,"puddingwife",2,2
"1155",175,"greenblotch parrotfish",2,2
"1156",175,"doctorfish",4,1
"1157",175,"ocean surgeonfish",2,2
"1158",175,"clown wrasse",2,3
"1159",175,"bicolor damselfish",1,73.5
"1160",175,"bluehead wrasse",1,22.5
"1161",175,"yellowhead wrasse",1,1
"1162",175,"french grunt",2,30.75
"1163",175,"striped parrotfish",1,6.75
"1164",175,"redband parrotfish",1,6
"1165",175,"masked goby",1,7
"1166",175,"tomtate",1,2.2
"1167",175,"yellowhead wrasse",2,6.5
"1168",175,"tomtate",2,215.6
"1169",175,"stoplight parrotfish",5,1
"1170",175,"cero",6,1
"1171",175,"sharpnose puffer",1,1
"1172",175,"cocoa damselfish",2,1
"1173",175,"yellowtail snapper",3,1
"1174",175,"gray angelfish",6,1
"1175",175,"bar jack",3,1
"1176",175,"balloonfish",4,1
"1177",175,"butter hamlet",2,1
"1178",175,"white grunt",6,1
"1179",175,"blue parrotfish",6,1
"1180",175,"bicolor damselfish",2,24.5
"1181",175,"bluehead wrasse",2,6.5
"1182",175,"yellowhead wrasse",3,1.5
"1183",175,"french grunt",3,10.25
"1184",175,"striped parrotfish",2,2.25
"1185",175,"redband parrotfish",3,1
"1186",175,"harlequin bass",3,1
"1187",175,"graysby",4,1
"1188",175,"smooth trunkfish",5,1
"1189",175,"doctorfish",5,1
"1190",175,"ocean surgeonfish",3,1
"1191",175,"clown wrasse",3,1
"1192",175,"bluehead wrasse",3,1
"1193",175,"yellowhead wrasse",4,1
"1194",175,"redband parrotfish",5,1
"1195",175,"tomtate",3,2.2
"1196",176,"striped parrotfish",1,2
"1197",176,"graysby",3,2
"1198",176,"harlequin bass",2,1
"1199",176,"ocean surgeonfish",3,1
"1200",176,"blue tang",2,1
"1201",176,"puddingwife",2,2
"1202",176,"masked goby",1,4
"1203",176,"french grunt",2,1
"1204",176,"blue chromis",1,8.25
"1205",176,"redband parrotfish",1,3.75
"1206",176,"sergeant major",1,3.75
"1207",176,"yellowhead wrasse",1,1
"1208",176,"bluehead wrasse",1,3.25
"1209",176,"creole wrasse",1,19.5
"1210",176,"clown wrasse",2,4
"1211",176,"bicolor damselfish",1,123
"1212",176,"french grunt",3,6.5
"1213",176,"yellowhead wrasse",2,4
"1214",176,"stoplight parrotfish",1,1
"1215",176,"white grunt",3,1
"1216",176,"butter hamlet",2,1
"1217",176,"spanish hogfish",5,1
"1218",176,"french angelfish",6,1
"1219",176,"gray angelfish",6,2
"1220",176,"greenblotch parrotfish",1,1
"1221",176,"rock beauty",2,1
"1222",176,"foureye butterflyfish",2,1
"1223",176,"smooth trunkfish",2,1
"1224",176,"yellowtail snapper",3,1
"1225",176,"cocoa damselfish",2,1
"1226",176,"cero",4,1
"1227",176,"sharpnose puffer",1,1
"1228",176,"yellow goatfish",3,1
"1229",176,"colon goby",1,1
"1230",176,"dog snapper",6,1
"1231",176,"blue tang",3,2
"1232",176,"bluehead wrasse",2,9.75
"1233",176,"french grunt",4,2.5
"1234",176,"blue chromis",2,2.75
"1235",176,"redband parrotfish",3,0.25
"1236",176,"sergeant major",2,1.25
"1237",176,"creole wrasse",2,6.5
"1238",176,"bicolor damselfish",2,41
"1239",176,"harlequin bass",3,1
"1240",176,"ocean surgeonfish",4,1
"1241",176,"puddingwife",6,1
"1242",176,"redband parrotfish",4,1
"1243",176,"yellowhead wrasse",3,1
"1244",176,"clown wrasse",3,1
"1245",177,"slippery dick",3,2
"1246",177,"greenblotch parrotfish",2,2
"1247",177,"doctorfish",4,1
"1248",177,"blue runner",5,2
"1249",177,"blue tang",2,3
"1250",177,"rainbow parrotfish",6,4
"1251",177,"french grunt",2,41.25
"1252",177,"white grunt",2,1
"1253",177,"striped parrotfish",1,1
"1254",177,"clown wrasse",1,1
"1255",177,"bluehead wrasse",1,8.25
"1256",177,"yellowhead wrasse",1,1
"1257",177,"bicolor damselfish",1,113.25
"1258",177,"tomtate",1,120
"1259",177,"white grunt",3,8
"1260",177,"striped parrotfish",2,5
"1261",177,"clown wrasse",2,3
"1262",177,"yellowhead wrasse",2,7
"1263",177,"blackear wrasse",2,1
"1264",177,"cocoa damselfish",2,1
"1265",177,"redband parrotfish",2,1
"1266",177,"queen angelfish",5,1
"1267",177,"spotfin butterflyfish",2,1
"1268",177,"blue angelfish",6,1
"1269",177,"butter hamlet",2,1
"1270",177,"hogfish",6,1
"1271",177,"ocean surgeonfish",2,1
"1272",177,"black grouper",6,1
"1273",177,"graysby",3,1
"1274",177,"puddingwife",3,1
"1275",177,"yellowtail damselfish",2,1
"1276",177,"stoplight parrotfish",2,1
"1277",177,"sharpnose puffer",1,1
"1278",177,"orangespotted filefish",2,1
"1279",177,"gray angelfish",6,1
"1280",177,"blackfin snapper",2,1
"1281",177,"french angelfish",6,1
"1282",177,"french grunt",3,13.75
"1283",177,"bluehead wrasse",2,1.75
"1284",177,"bicolor damselfish",2,37.75
"1285",177,"tomtate",2,40
"1286",177,"doctorfish",5,1
"1287",177,"clown wrasse",3,1
"1288",177,"bluehead wrasse",3,1
"1289",178,"permit",6,2
"1290",178,"porkfish",5,2
"1291",178,"yellowhead wrasse",2,1
"1292",178,"squirrelfish",4,1
"1293",178,"stoplight parrotfish",5,2
"1294",178,"blue tang",2,1
"1295",178,"creole wrasse",4,1
"1296",178,"bicolor damselfish",1,36
"1297",178,"french grunt",2,1
"1298",178,"ocean surgeonfish",2,1
"1299",178,"redband parrotfish",3,1
"1300",178,"blackear wrasse",2,8
"1301",178,"blue chromis",1,1
"1302",178,"white grunt",4,1
"1303",178,"striped parrotfish",2,6
"1304",178,"french grunt",3,19.25
"1305",178,"ocean surgeonfish",3,0.25
"1306",178,"redband parrotfish",4,3.5
"1307",178,"blackear wrasse",1,23
"1308",178,"blue chromis",2,6
"1309",178,"white grunt",5,8
"1310",178,"rock beauty",5,1
"1311",178,"bluestriped grunt",4,1
"1312",178,"princess parrotfish",5,1
"1313",178,"spotted trunkfish",2,1
"1314",178,"gray angelfish",5,1
"1315",178,"trumpetfish",6,1
"1316",178,"harlequin bass",2,1
"1317",178,"blue tang",3,2
"1318",178,"creole wrasse",5,3
"1319",178,"ocean surgeonfish",4,2.5
"1320",178,"bicolor damselfish",2,12
"1321",178,"french grunt",4,6.75
"1322",178,"ocean surgeonfish",5,1.25
"1323",178,"redband parrotfish",5,1.5
"1324",178,"white grunt",6,3
"1325",178,"yellowhead wrasse",3,1
"1326",178,"squirrelfish",5,1
"1327",178,"stoplight parrotfish",6,1
"1328",178,"blue tang",4,1
"1329",178,"blackear wrasse",3,1
"1330",179,"graysby",3,1
"1331",179,"bridled goby",1,2
"1332",179,"sharpnose puffer",1,2
"1333",179,"spanish hogfish",2,1
"1334",179,"spotfin butterflyfish",3,2
"1335",179,"stoplight parrotfish",3,1
"1336",179,"blue chromis",2,2
"1337",179,"princess parrotfish",4,1
"1338",179,"white grunt",3,1
"1339",179,"foureye butterflyfish",2,3
"1340",179,"bluehead wrasse",1,10
"1341",179,"bicolor damselfish",1,26.25
"1342",179,"redband parrotfish",2,1
"1343",179,"striped parrotfish",1,1
"1344",179,"ocean surgeonfish",3,1
"1345",179,"yellowhead wrasse",2,2
"1346",179,"blue tang",2,1
"1347",179,"redband parrotfish",3,6.5
"1348",179,"striped parrotfish",2,8.75
"1349",179,"ocean surgeonfish",4,4.25
"1350",179,"blue tang",3,3
"1351",179,"harlequin bass",3,1
"1352",179,"butter hamlet",3,1
"1353",179,"reef butterflyfish",2,1
"1354",179,"smooth trunkfish",3,1
"1355",179,"stoplight parrotfish",5,1
"1356",179,"princess parrotfish",5,3
"1357",179,"white grunt",4,2
"1358",179,"bluehead wrasse",2,20
"1359",179,"yellowhead wrasse",3,5
"1360",179,"bluehead wrasse",3,10
"1361",179,"bicolor damselfish",2,8.75
"1362",179,"redband parrotfish",4,2.5
"1363",179,"striped parrotfish",3,3.25
"1364",179,"ocean surgeonfish",5,1.75
"1365",179,"graysby",4,1
"1366",179,"spanish hogfish",4,1
"1367",179,"stoplight parrotfish",6,1
"1368",179,"blue chromis",3,1
"1369",179,"white grunt",5,1
"1370",179,"foureye butterflyfish",3,1
"1371",179,"yellowhead wrasse",4,1
"1372",179,"blue tang",4,1
"1373",180,"greenblotch parrotfish",1,1
"1374",180,"blue tang",3,2
"1375",180,"stoplight parrotfish",5,1
"1376",180,"spotted goatfish",4,3
"1377",180,"blue chromis",2,4
"1378",180,"foureye butterflyfish",2,4
"1379",180,"striped parrotfish",1,1
"1380",180,"bluehead wrasse",1,7
"1381",180,"bicolor damselfish",1,65
"1382",180,"redband parrotfish",1,1
"1383",180,"princess parrotfish",2,7.5
"1384",180,"ocean surgeonfish",3,1.25
"1385",180,"smooth trunkfish",2,1
"1386",180,"yellowhead wrasse",2,9
"1387",180,"white grunt",4,1.5
"1388",180,"striped parrotfish",2,11.75
"1389",180,"redband parrotfish",2,1.25
"1390",180,"smooth trunkfish",3,4.25
"1391",180,"hogfish",5,1
"1392",180,"queen parrotfish",5,1
"1393",180,"harlequin bass",2,1
"1394",180,"graysby",4,1
"1395",180,"butter hamlet",2,1
"1396",180,"trumpetfish",6,1
"1397",180,"rock beauty",3,1
"1398",180,"stoplight parrotfish",6,2
"1399",180,"bluehead wrasse",2,20
"1400",180,"redband parrotfish",3,4.5
"1401",180,"ocean surgeonfish",4,2.75
"1402",180,"white grunt",3,2.5
"1403",180,"striped parrotfish",3,3.25
"1404",180,"redband parrotfish",4,1.25
"1405",180,"princess parrotfish",4,1.5
"1406",180,"smooth trunkfish",4,1.75
"1407",180,"yellowhead wrasse",3,2
"1408",180,"greenblotch parrotfish",2,1
"1409",180,"blue tang",4,1
"1410",180,"spotted goatfish",5,1
"1411",180,"striped parrotfish",4,1
"1412",180,"bluehead wrasse",3,1
"1413",180,"redband parrotfish",5,1
"1414",180,"princess parrotfish",5,1
"1415",180,"ocean surgeonfish",5,1
"1416",180,"yellowhead wrasse",4,1
"1417",180,"white grunt",5,1
"1418",182,"red grouper",6,2
"1419",182,"stoplight parrotfish",5,2
"1420",182,"porkfish",5,2
"1421",182,"rainbow parrotfish",6,2
"1422",182,"threespot damselfish",1,1
"1423",182,"sharpnose puffer",2,2
"1424",182,"blue tang",3,1
"1425",182,"neon goby",1,3
"1426",182,"sergeant major",1,3
"1427",182,"cocoa damselfish",1,1
"1428",182,"bluestriped grunt",3,1
"1429",182,"white grunt",3,4
"1430",182,"bluehead wrasse",1,1
"1431",182,"hogfish",5,2
"1432",182,"mahogany snapper",3,1
"1433",182,"bicolor damselfish",1,10
"1434",182,"striped parrotfish",1,6.75
"1435",182,"tomtate",1,80.25
"1436",182,"bluestriped grunt",4,7.5
"1437",182,"bluehead wrasse",2,5
"1438",182,"hogfish",3,0.25
"1439",182,"mahogany snapper",4,29
"1440",182,"gray snapper",5,1
"1441",182,"gray angelfish",5,1
"1442",182,"gray triggerfish",5,1
"1443",182,"puddingwife",2,1
"1444",182,"queen angelfish",2,1
"1445",182,"cocoa damselfish",2,3
"1446",182,"bluestriped grunt",5,25.5
"1447",182,"white grunt",4,12
"1448",182,"hogfish",1,2.5
"1449",182,"hogfish",4,0.25
"1450",182,"mahogany snapper",5,10
"1451",182,"striped parrotfish",2,2.25
"1452",182,"tomtate",2,26.75
"1453",182,"threespot damselfish",2,1
"1454",182,"blue tang",4,1
"1455",182,"bluehead wrasse",3,1
"1456",185,"porkfish",4,1
"1457",185,"stoplight parrotfish",1,1
"1458",185,"yellowtail snapper",2,2
"1459",185,"white grunt",2,29.25
"1460",185,"striped parrotfish",1,1
"1461",185,"bluestriped grunt",2,1
"1462",185,"french grunt",2,4.5
"1463",185,"striped parrotfish",2,9.5
"1464",185,"bluestriped grunt",3,5
"1465",185,"redband parrotfish",2,1
"1466",185,"cocoa damselfish",1,1
"1467",185,"gray angelfish",6,1
"1468",185,"graysby",3,1
"1469",185,"threespot damselfish",2,1
"1470",185,"bluehead wrasse",2,1
"1471",185,"midnight parrotfish",5,1
"1472",185,"butter hamlet",2,1
"1473",185,"blue angelfish",3,1
"1474",185,"gray snapper",5,1
"1475",185,"white grunt",4,8.75
"1476",185,"striped parrotfish",3,3.5
"1477",185,"bluestriped grunt",4,1
"1478",185,"french grunt",3,1.5
"1479",185,"porkfish",5,1
"1480",185,"stoplight parrotfish",2,1
"1481",185,"white grunt",5,1
"1482",185,"bluestriped grunt",5,1
"1483",186,"needlefish sp.",2,1
"1484",186,"redband parrotfish",1,3.75
"1485",186,"stoplight parrotfish",1,1
"1486",186,"striped parrotfish",1,7.5
"1487",186,"bar jack",3,3.75
"1488",186,"stoplight parrotfish",2,2.75
"1489",186,"sharpnose puffer",2,1
"1490",186,"bluehead wrasse",1,1
"1491",186,"white grunt",4,1
"1492",186,"cocoa damselfish",1,1
"1493",186,"schoolmaster snapper",4,1
"1494",186,"chub sp.",5,1
"1495",186,"graysby",4,1
"1496",186,"bicolor damselfish",2,1
"1497",186,"gray angelfish",5,1
"1498",186,"blue tang",3,1
"1499",186,"ocean surgeonfish",3,1
"1500",186,"puddingwife",2,1
"1501",186,"redband parrotfish",2,1.25
"1502",186,"stoplight parrotfish",3,1.25
"1503",186,"striped parrotfish",2,1.5
"1504",186,"bar jack",4,1.25
"1505",186,"needlefish sp.",3,1
"1506",186,"striped parrotfish",3,1
"1507",187,"graysby",2,1
"1508",187,"gray angelfish",6,2
"1509",187,"beaugregory",2,2
"1510",187,"spotfin butterflyfish",3,2
"1511",187,"yellowhead wrasse",1,1
"1512",187,"ocean surgeonfish",2,2
"1513",187,"foureye butterflyfish",1,1
"1514",187,"redband parrotfish",1,1
"1515",187,"sharpnose puffer",1,3
"1516",187,"creole wrasse",1,1
"1517",187,"blue parrotfish",6,4
"1518",187,"doctorfish",2,3
"1519",187,"atlantic spadefish",6,4
"1520",187,"brown chromis",2,4
"1521",187,"blue chromis",1,1
"1522",187,"bicolor damselfish",1,32.25
"1523",187,"bluehead wrasse",1,18.5
"1524",187,"princess parrotfish",2,3.75
"1525",187,"striped parrotfish",1,1
"1526",187,"bluelip parrotfish",1,6
"1527",187,"striped parrotfish",2,0.5
"1528",187,"blue tang",3,1
